bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,image_id,path,vehicle_type
39,116,569,375,14,train_00001,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00001.jpg,Coupe
36,116,868,587,3,train_00002,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00002.jpg,Sedan
85,109,601,381,91,train_00003,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00003.jpg,Pick Up
621,393,1484,1096,134,train_00004,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00004.jpg,Sedan
14,36,133,99,106,train_00005,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00005.jpg,Pick Up
259,289,515,416,123,train_00006,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00006.jpg,Convertible
88,80,541,397,89,train_00007,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00007.jpg,SUV
73,79,591,410,96,train_00008,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00008.jpg,Sedan
20,126,1269,771,167,train_00009,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00009.jpg,Sedan
21,110,623,367,58,train_00010,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00010.jpg,SUV
51,93,601,393,49,train_00011,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00011.jpg,Sedan
6,62,499,286,186,train_00012,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00012.jpg,SUV
30,36,418,307,135,train_00013,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00013.jpg,Sedan
31,246,778,540,85,train_00014,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00014.jpg,Minivan
32,77,589,379,193,train_00015,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00015.jpg,Hatchback
27,49,611,396,172,train_00016,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00016.jpg,Coupe
39,52,233,150,14,train_00017,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00017.jpg,Coupe
3,8,190,147,73,train_00018,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00018.jpg,Sedan
247,287,1366,761,192,train_00019,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00019.jpg,Hatchback
17,281,961,596,57,train_00020,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00020.jpg,Coupe
17,156,695,375,79,train_00021,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00021.jpg,Sedan
212,538,1893,1131,36,train_00022,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00022.jpg,Convertible
11,28,476,234,120,train_00023,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00023.jpg,SUV
53,126,973,621,170,train_00024,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00024.jpg,Hatchback
34,87,567,343,194,train_00025,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00025.jpg,Sedan
30,174,598,379,134,train_00026,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00026.jpg,Sedan
80,107,606,336,184,train_00027,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00027.jpg,Sedan
45,115,585,382,86,train_00028,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00028.jpg,Pick Up
28,139,1564,1126,180,train_00029,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00029.jpg,Coupe
82,109,874,521,194,train_00030,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00030.jpg,Sedan
55,318,446,564,154,train_00031,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00031.jpg,SUV
12,31,471,350,139,train_00032,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00032.jpg,Hatchback
34,197,1011,656,66,train_00033,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00033.jpg,Coupe
37,63,614,397,133,train_00034,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00034.jpg,SUV
223,87,1111,670,154,train_00035,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00035.jpg,SUV
138,41,521,223,104,train_00036,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00036.jpg,Coupe
31,87,616,344,38,train_00037,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00037.jpg,Convertible
16,89,459,326,97,train_00038,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00038.jpg,Sedan
53,113,614,350,105,train_00039,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00039.jpg,Sedan
214,110,660,403,142,train_00040,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00040.jpg,SUV
61,55,566,408,13,train_00041,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00041.jpg,Coupe
28,61,622,371,191,train_00042,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00042.jpg,Hatchback
22,39,588,362,119,train_00043,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00043.jpg,Van
220,193,537,364,38,train_00044,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00044.jpg,Convertible
12,108,489,297,186,train_00045,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00045.jpg,SUV
28,80,759,466,25,train_00046,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00046.jpg,Coupe
84,248,1102,899,194,train_00047,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00047.jpg,Sedan
142,69,753,451,177,train_00048,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00048.jpg,Sedan
166,543,887,903,173,train_00049,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00049.jpg,Sedan
20,96,564,341,42,train_00050,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00050.jpg,Coupe
41,181,607,465,91,train_00051,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00051.jpg,Pick Up
39,29,774,395,148,train_00052,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00052.jpg,SUV
161,191,425,307,15,train_00053,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00053.jpg,Coupe
58,562,1528,1081,97,train_00054,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00054.jpg,Sedan
80,120,582,391,42,train_00055,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00055.jpg,Coupe
32,48,472,267,53,train_00056,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00056.jpg,Pick Up
260,138,972,439,44,train_00057,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00057.jpg,Sedan
11,35,256,173,65,train_00058,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00058.jpg,Pick Up
68,91,607,354,90,train_00059,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00059.jpg,Pick Up
129,120,345,269,124,train_00060,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00060.jpg,Pick Up
11,104,1011,742,114,train_00061,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00061.jpg,Pick Up
19,21,425,265,190,train_00062,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00062.jpg,Hatchback
175,330,928,647,101,train_00063,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00063.jpg,Coupe
97,39,925,700,187,train_00064,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00064.jpg,Sedan
63,175,417,320,8,train_00065,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00065.jpg,Convertible
30,39,221,125,17,train_00066,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00066.jpg,Sedan
129,89,594,432,111,train_00067,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00067.jpg,Pick Up
32,43,598,350,122,train_00068,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00068.jpg,Pick Up
142,124,675,445,5,train_00069,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00069.jpg,Sedan
220,313,1054,976,29,train_00070,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00070.jpg,Sedan
8,12,639,299,126,train_00071,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00071.jpg,Minivan
92,271,1178,749,94,train_00072,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00072.jpg,SUV
